"SAMPLE","279.091118706597;2.48327962962963","496.338508605957;5.40815833333333","703.572513580322;7.38297708333333","369.35100402832;7.79861833333333","522.354822794596;5.55904351851851","703.573300170898;7.52232999999999","544.338053385416;5.33926666666666","761.58913675944;7.46598888888889","810.604566301618;7.50669047619047","343.285861015319;7.4051625","343.285424804687;7.41133833333333","343.285381317138;7.44915833333333","810.603079223632;7.51560333333333","343.285439231179;7.37261969696969","296.145463731553;5.40880092592592","343.286065673828;7.42303833333333","781.552008734809;6.71828333333333","343.285700480143;7.45139444444444","478.29131451775;5.21791176470588","343.28591410319;7.48523777777777","279.6458630032;5.31407499999999","343.285684758966;7.32913484848484","806.568036760602;6.71934999999999","269.225380791558;6.3899824074074","542.319895426432;5.31841333333333","758.57037789481;7.51572619047618","781.552151150173;6.59956666666666","205.096580081515;0.722847222222222","188.07028834025;0.72154537037037","675.544755935668;6.99334895833333","808.576348198784;7.78488703703703","267.646852493286;5.41162291666666","287.632343716091;5.31344537037037","781.551998562283;6.45609814814814","502.294563293457;5.25974166666666","546.354420979817;5.48868518518518","546.352081298828;5.84711770833333","806.570103236607;6.60452619047619","343.286027388139;7.56276363636363","494.321662454044;5.16548823529411","311.07930416531;3.51783888888888","544.33658914005;5.55742450980392","352.29108428955;7.39185138888889","288.160160488552;5.41238981481481","454.291175393497;5.31863137254902","482.322638878455;5.71213461538461","519.322781032986;5.40702222222222","352.291508265904;7.46477857142857","787.600708007812;7.69218888888888","515.314014010959;5.40851388888888","480.309233601888;5.45385111111111","808.577355278862;7.78716851851851","276.651732126871;5.40135416666666","352.290735418146;7.37624090909091","806.568673270089;6.49502142857142","804.551327514648;6.70767666666666","834.596145629882;7.02081","280.654406229654;5.56295277777777","804.551467895507;6.60076527777777","568.339780680338;5.36674111111111","310.160161635455;5.84761960784313","352.290910993303;7.46547380952381","804.551433216441;8.22224696969697","288.639212472098;5.55511666666666","804.551348876953;6.44880499999999","429.372283935546;8.09703974358974","290.137951321072;2.5282287037037","352.290975717397;7.48592948717948","468.309320722307;4.99717380952381","794.60500226702;7.11393809523809","406.746518816266;6.52051666666666","510.355960845947;5.6192125","806.568789164225;8.21296111111111","149.0232796669;7.33267916666666","286.143366196576;4.81158823529411","526.293446132114;5.28225238095238","830.564412434895;6.72138055555555","291.645051843979;5.33771764705882","729.586873372395;7.50271666666666","426.358858380998;5.62375833333333","282.277565002441;6.33435595238095","343.285287857055;7.35237499999999","352.291091918945;7.47175","281.661382887098;5.84946574074074","342.276740180121;7.1131537037037","766.575500488281;6.72305277777777","804.551611328125;8.04976","329.268663406372;6.9881625","400.341715494791;5.50121666666666","804.551640101841;6.29043809523809","281.086564805772;2.48402407407407","830.562278747558;6.60243958333333","329.268678283691;6.98130833333333","406.746452331542;6.8456375","140.06811726888;5.28226888888888","101.070729255676;8.50606458333333","450.321565755208;4.50379222222222","342.277074178059;7.13486111111111","769.592519124349;7.04388888888888","299.632213885967;5.33796923076923","251.127089606391;4.63871574074074","734.564964294433;7.475125","343.285842895507;7.5267869047619","342.277029037475;7.1070125","372.159821573893;3.37986888888888","329.268815782335;7.03012222222222","316.247864723205;4.15315104166666","734.565563964843;7.48324666666666","478.291271209716;5.16935972222222","286.143425835503;4.8593074074074","482.324249267578;5.21148636363636","375.250818105844;5.8764282051282","830.56298828125;6.45045555555555","756.552634499289;8.01545909090909","343.285715375627;7.51914642857142","284.293628692626;6.64965694444444","792.590016682942;6.93545","413.265969016335;7.33456818181818","140.068115234375;5.66544791666666","342.276691012912;7.12403148148148","429.372267405192;7.80666666666666","343.285808563232;7.529275","342.276672363281;7.12117777777777","432.309499567205;4.50397272727272","351.283554077148;7.10154444444444","518.324307250976;5.13174166666666","539.312228116122;5.31080757575757","502.293047587076;5.21217361111111","226.179884338378;6.67615666666666","266.60877418518;5.227275","414.320947011311;5.87521666666666","450.321635437011;4.57701166666666","266.638014475504;5.16119305555555","342.276371002197;7.2872625","336.276550292968;7.26595555555555","286.199875775505;3.1472225490196","370.295305887858;5.87530972222222","290.667965698242;5.83155166666666","469.388578935103;6.61893181818182","828.546365356445;7.99975","340.356094360351;7.48968333333333","1061.65634591238;5.30215714285714","312.325873238699;7.08678333333333","149.023470710305;4.12842450980392","351.283884684244;7.23293888888888","752.560028076171;6.69645833333333","329.26893043518;7.00276041666666","336.276176452636;7.31686666666666","381.260189480251;4.80398888888888","307.084582328796;2.451140625","270.622006503018;5.25718636363636","521.416786193847;6.60419583333333","125.089943567911;8.45085694444444","351.28301832411;7.10547407407407","181.085680961608;4.02466041666666","342.335551670619;5.68618571428571","184.073097229003;7.38845","288.216471354166;3.53246666666666","228.196440124511;4.28700555555555","250.177996063232;4.2862","292.653525216238;5.48210476190476","458.34893629286;5.87419999999999","466.328273773193;5.84872708333333","272.293385823567;5.06269888888889","438.296073913574;5.44214861111111","730.594899495442;7.53574166666666","508.375698852539;5.69128666666666","351.283682250976;7.26111333333333","302.212615966796;4.512075","184.072903442382;7.35505","1040.67974853515;5.313175","357.279057820638;4.98309444444444","181.071882629394;0.930123333333333","139.987821197509;7.513745","139.987800598144;7.51667179487179","141.982670593261;7.44188333333333","518.322554154829;5.41062272727272","111.01981862386;7.5027037037037","111.019769941057;7.4757738095238","111.019798755645;7.45222083333333","209.190309736463;4.58957407407407","111.038746425083;5.41031904761904","101.070745468139;7.55801875","101.070743560791;7.3902125","399.249842834472;5.572575","369.351161193847;7.81584333333333","703.574018998579;7.43531363636363","782.568829854329;8.17004027777777","782.568766276041;8.05147037037037","758.569324493408;8.1953625","758.569847106933;8.20465208333333","806.568392944336;8.02044999999999","343.285583496093;7.29337291666666","782.568927001953;7.79293333333333","523.29804774693;5.39889285714285","352.290562022816;7.40975606060606","787.601177978515;8.17211","352.290821075439;7.31663958333333","369.351068115234;8.02942","406.746495564778;6.66377222222222","566.320468902587;5.33117083333333","726.561317443847;7.41322083333333","352.291312323676;7.50434444444444","703.573080880301;7.75172142857142","352.290522766113;7.31941333333333","731.607496473524;8.03527222222222","780.554134368896;7.92503958333333","730.594543457031;7.54496333333333","832.582595825195;7.77006111111111","343.285820007324;7.585375","296.121154785156;3.16829285714285","1016.67569986979;5.39095","428.371536254882;5.88653666666666","836.612213134765;7.52435","316.322252273559;4.98492291666666","149.082206726074;8.165925","783.569030761718;7.532875","419.315699986049;7.60641904761904","832.5816116333;6.7222875","703.57251586914;8.01746666666666","140.068115234375;6.72360416666666","725.558736165364;7.85791666666666","140.068138122558;6.60509583333333","112.017613410949;7.470525","112.017641448974;7.50426666666666","729.586502075195;7.76943333333333","329.269241333007;7.16277916666666","140.068272908528;6.45617777777777","760.586967468261;7.5421625","727.571914672851;7.29570833333333","329.269161224365;7.20438333333333","731.607353210449;8.20942083333333","804.55207824707;8.37784166666666","689.556549072265;7.38650833333333","351.283487955729;7.30996111111111","344.278048197428;4.65575","764.522867838541;7.79830555555555","384.173049926757;3.39255","299.257385253906;7.23512777777777","785.588485717773;7.509925","785.589241027832;7.51679583333333","780.553771972656;7.52087222222222","787.602779388427;7.53440208333333","806.565994262695;7.550825","135.078903198242;7.5089","834.599029541015;7.46485833333333","760.585311889648;7.22118333333333","810.600659179687;7.16073666666666","785.649879455566;7.22492916666666","759.635447184244;6.98193888888889","772.585454305013;6.95376666666666","785.651123046875;7.479925","735.573364257812;7.00653333333333","801.683410644531;7.36735","836.615623474121;7.50925","809.582010904947;8.14430555555555","763.59326171875;7.22506666666666","801.685719807942;7.51136111111111","411.768974304199;6.5978","731.606262207031;6.317775","343.285710652669;7.32218703703703","725.558349609375;7.42496666666666","424.341437203543;5.37830952380952","480.344517299107;5.57351428571428","794.604669189453;7.51184333333333","794.605880737304;7.5208","812.6150390625;8.10749333333333","810.598317464192;8.19803333333333","108.068174362182;8.02239166666666","398.761142730712;5.24655416666666","228.195808410644;6.70277142857142","520.339230007595;5.30490185185185","524.37060546875;5.83063703703703","991.671142578125;5.39848888888888","705.579132080078;7.34363333333333","702.562321980794;7.09759722222222","301.071989271375;2.47828703703703","111.020063672746;7.52631428571428","689.559674944196;7.18656428571428","705.58251953125;7.47383333333333","1013.65348597935;5.40139285714285","811.667114257812;7.50278333333333","336.325525919596;6.88097777777777","297.16468556722;5.39322777777777","302.174915858677;5.83159523809523","195.087497287326;2.04506296296296","482.360832214355;5.54493333333333","258.623151143391;5.21973611111111","570.35322352818;5.46380476190476","792.59031677246;6.68886666666666","182.985031127929;4.9082","366.33619253976;5.5277738095238","288.632125854492;5.30745","527.313128662109;5.38516666666666","768.588409423828;7.47383333333333","723.541339111328;7.06137666666666","673.528297424316;6.65135416666666","1047.73411051432;5.81371666666666","289.659006754557;5.53942777777777","125.070705413818;8.37420952380952","336.325551350911;6.01067222222222","226.951416015625;9.51581666666666","740.523147583007;7.816325","411.768834431966;6.75196111111111","702.562316894531;7.33573333333333","726.562622070312;7.772775","342.277727399553;7.20621904761904","140.068115234375;5.95745833333333","140.0679397583;7.75011666666666","140.068099975585;7.02516666666666","400.763616943359;7.36409666666666","366.373179117838;7.52373333333333","376.317474365234;6.44699166666666","286.227714538574;6.38994166666666","226.951354980468;8.69078333333333","675.67626953125;7.1606","321.314575195312;7.15525","723.54296875;7.37600833333333","756.552459716796;8.21043333333333","546.354049682617;6.45254166666666","408.308288574218;6.70555","518.32273864746;6.721975","1037.65334065755;5.38838333333333","803.542190551757;7.34241666666666","108.067955017089;7.49963333333333","184.072830200195;7.37272222222222","101.070777893066;8.00336666666666","416.36392211914;7.95163333333333","401.264739990234;7.43425","281.246932983398;7.23558333333333","884.603454589843;7.19203333333333","374.302764892578;6.2301","342.277801513671;7.366825","802.534484863281;8.00335833333333","421.230247497558;5.57508333333333","595.493286132812;7.05763333333333","247.166213989257;7.15525","760.585363769531;7.53450333333333","780.548156738281;6.45523333333333","787.602432250976;7.492825","787.602661132812;7.40077499999999","543.323313395182;5.29162777777777","811.665466308593;7.36436666666666","811.667114257812;7.4338","732.555216471354;8.20003333333333","135.078872680664;8.07843333333333","223.096591949462;4.018725","340.357452392578;7.5156","836.611557006835;7.4359","126.065856933593;8.5695","366.373077392578;7.54348333333333","812.613240559895;8.14550555555555","812.612762451171;7.7768","153.089447021484;8.07843333333333","756.552917480468;6.45523333333333","523.346669514974;5.30292777777777","508.338439941406;5.34383333333333","350.325897216796;5.95556666666666"
"20170728_MS1_70k_plasma_1",282274418.8,1773655542,0,0,369091771.6,0,164570753.3,0,0,9857745.856,0,0,0,0,68651705.33,11820439.76,0,43962103.72,41098934.4,16496966.65,81009956.45,0,0,35087232.56,72809719.49,0,0,161109878.5,147392129.2,85010578.13,0,61764149.32,35470933.89,0,25459908.34,48848573.14,60138404.48,0,9615369.313,46360858.7,16850326.05,66684295.43,3187034.019,62159837.31,22354589.72,26369027.04,0,3255811.744,0,26480630.66,27694253,0,31301569.71,1781593.312,0,0,0,42268868.25,0,22520465.99,25168070.36,15930157.77,30770910.73,19787875.57,0,16163016.99,14725068.82,5833510.003,16671240.61,0,0,25249042.98,17093371.62,13050897.59,8339428.55,10219429.08,0,16214677.69,0,10804888.24,8248366.093,0,2969092.765,26535011.09,6888931.799,0,39557613.87,0,10295290.46,0,11741885.61,0,0,0,17330986.1,0,5486525.538,6705004.125,0,6610104.865,5027931.242,0,9141057.592,2726513.89,0,2619043.906,4719352.097,0,4319701.117,0,0,7904466.197,0,12139729.97,5084314.795,4407541.896,0,17036878.78,36922779.19,4578449.323,8911680.08,5175066.194,1621719.873,0,0,0,5123761.371,3081660.903,3915476.526,0,3368384.038,0,7865498.488,2667042.103,1479950.655,2771653.348,3860252.841,0,3912617.647,12023471.9,10806895.54,5632179.37,4528718.073,3064568.065,2918393.338,0,7591209.254,3260469.108,3108842.102,4173980.573,0,0,54783442.57,3219471.527,0,4124738.035,1315303.546,0,6181557.297,0,0,2178980.968,3787293.007,2331836.729,2972566.05,0,0,3308606.467,0,2677620.591,0,2144922.147,11513117.5,0,1970808.297,0,188600888.5,0,0,0,3382043.153,57416522.37,6645111.443,51140319.88,2937418.125,210128659.9,713758422.9,104031466.1,136184559.9,0,129534344.1,43317145.62,0,0,9332002.085,16536148.74,0,0,0,0,15070668.55,0,1938057.447,20721404.77,4142630.821,10065824.17,19064953.89,0,0,3911451.462,0,5131083.861,0,0,0,4843709.534,0,6389634.22,0,48822699.38,21808379,5364413.396,19137527.71,2865512.665,1355414.737,1658280.374,1540225.519,16997099.63,0,0,1816066.65,13403478.64,0,42841148.15,1993240.943,2142235.391,4942284.296,1635194.159,9483259.229,0,0,0,0,0,866022.9711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37018487.4,132262871.1,8177431.731,13069758.65,0,0,0,0,0,0,0,590142431.2,514480279.7,37886099.79,0,0,21842130.06,7264337.445,0,0,23507593.11,0,12717709.66,11665828.2,20308313.36,19684451.92,10630930.65,5320366.202,9227190.925,0,0,4657929.552,6283621.549,6874641.988,0,0,0,0,0,31033519.12,2573241.212,0,2832892.251,0,80739987.84,5411708.151,7096579.121,39372599.79,4745269.098,11606043.16,20409136.38,6362401.994,6816654.378,5832758.211,8972132.693,2952293.047,5804740.509,24342247.91,5481075.461,3075971.196,4043854.069,3065657.964,5646363.158,2070592.277,724201.2323,930779.3773,12409389.54,3423429.471,9722066.957,9292335.033,4126323.394,2529729.557,578475.059,3018563.546,1764232.571,6737804.972,28141403.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20170728_MS1_70k_plasma_2",290712750.6,1857829954,743846256.1,0,456350989.8,22371453.79,152080491.1,0,93353814.51,0,17008096.43,13870979.87,9953505.387,16509444.07,74221038.87,0,49814098.99,9768548.953,45716066.35,0,82916297.5,7409872.855,72277692.17,33272889.01,0,49287457.24,0,147388961.1,152113443,103494425.3,10587942.8,53556507.68,41094921.73,0,0,47038285.18,65603280.91,0,4381798.443,48639468.59,17786736.01,55534279.64,0,50010093.92,23377780.79,29998677.14,33445966.21,0,40104585.98,26715186.62,24046284.13,8522440.934,29879721.7,12802516.5,64677624.94,17471313.51,133089099,38366409.36,20110951.72,19117422,24285416.9,4980063.001,26309709.75,20484019.5,21177012.36,12426190.28,14518830.08,997335.2773,20559990.91,103202401.1,0,26694800.47,15623864.72,8503848.446,8878018.71,10325134.39,10559760.86,18709132.97,0,13010249.08,10260377.24,19598350.54,2833398.577,20516799.36,3983226.781,87016991.91,31626359.9,0,10255177.75,48608137.5,12106032.89,12074643.8,956118.7961,12496146.48,27854780.84,74367164.07,0,2238816.206,63608388.06,7058650.641,4905398.781,820327.3761,0,2682541.678,4199280.665,4908486.712,4501742.145,6283005.657,5125697.829,0,8379864.589,5642011.207,9880279.354,18530732.79,2880606.957,5226451.708,40705970.38,0,33702280.17,1836380.192,4980488.636,0,4312468.237,3780006.241,0,7942031.578,7147842.244,29670076.89,3591484.726,2268236.718,4044914.164,3286935.066,6153328.404,0,0,2562373.991,4178025.339,8323157.545,4468490.896,9814661.26,5849148.466,6357285.819,3758925.484,2682778.8,0,42359282.16,2289999.33,0,2424739.327,0,2753653.491,3172777.605,51750451.55,1177161.542,1797260.132,4471108.331,0,2255883.501,6074924.359,5376420.659,4283725.578,2264173.169,0,0,3023196.76,11491735.07,9258722.579,0,0,2756940.866,0,2057470.961,12157133.4,12638993.08,2409161.604,5365552.099,0,0,0,0,3226311.522,0,0,0,3007930.003,207002468.5,216976783.6,70649183.69,132370723.6,0,200373052.2,48093285.33,15560006.88,8525192.085,15353469.85,2716777.88,17944408.26,5692810.21,4551491.202,0,15128427.5,22170006.3,0,0,9080547.264,18130941.09,39286220.08,1718672.874,2600810.408,0,2619533.876,2789938.719,3115267.567,7537580.964,0,0,2007680.948,0,0,12949557.48,0,0,0,0,6139030.638,0,0,0,19717405.95,9877490.204,0,6468875.13,5444006.883,0,0,0,0,0,0,14796839.37,1602409.475,0,11600345.6,1768455.421,0,6638338.737,1285571179,738097724.5,75909865.77,0,67467563.78,15034879.56,43991662.76,0,950495.6339,11062310.88,0,0,32972381.49,0,19063173.95,0,7483707.564,15022914.81,11255495.76,1195725.097,10595314.3,6002677.117,42097882.48,31338356.38,2722637.136,762480198.9,650123237.5,49921221.05,76076646.63,66226004.39,23016295.99,15877316.9,55478442.53,0,22041377.81,1773860.895,8448584.334,10841718.8,16409697.57,19328197.16,13534021.69,5140054.74,6903875.472,0,0,4498604.331,0,4807073.728,0,10571277.84,8341355.215,0,0,31205453.49,2439484.174,0,0,11291776.99,0,0,883402.7188,0,0,0,12903083.85,748269.703,0,0,0,0,0,0,0,0,0,0,4426654.804,0,0,1096018.384,0,0,0,0,0,0,0,0,0,0,0,185172598.7,120798680.2,84601660.61,143008417.7,20831517.93,53354806.81,18807227.82,7053251.003,15370549.12,2974303.988,987505.8242,10983555.58,40683971.34,1424314.612,17555257.8,7038205.855,4386934.942,47822287.63,4180405.261,4383146.268,3835400.559
"20170728_MS1_70k_plasma_3",277888127.7,2299034000,0,161248904.5,442071715.1,0,136258721.7,51703435.29,0,32521328.91,12709485.38,4267885.597,58477235.27,0,89765180.78,0,37326061.73,4132596.916,46589410.44,4816222.842,72316195.99,8975493.11,71869509.33,32065805.33,63209330.28,26975207.82,39543896.75,163713222,148500224.5,93920230.42,0,67366380.6,34047407.92,83086910.85,27883427.92,44984581.29,57441061.3,52532635.58,0,52906592.98,16463913.1,55322139.36,8569417.329,47020902.31,20751829.21,24062187.02,0,0,0,26656743.54,24650182.67,53794090.7,32016293.6,5730453.063,118955230,11156999.32,139587728.7,36432442.15,13365799.92,21901557.7,25234476.25,1184739.568,15432913.89,22242197.78,14802258.4,12103904.21,14197810.75,1591596.831,21649788.23,119974131.5,11386567.79,30547324.47,9233840.022,8182918.636,9220097.328,10873462.32,9356187.102,18103905.49,31148037.93,12227276.22,9179444.507,1824144.401,1585352.132,18836611.43,4900438.642,82071830.64,23244480.96,5664758.586,9966805.746,21234547.34,11529995.78,7761623.997,1751511.295,0,28381195.86,69870077.96,5504278.839,4589496.083,59696239.43,7009797.772,4888952.94,0,2985693.478,2717788.505,4556727.066,0,4885182.828,0,5007853.359,5098970.487,10208116.67,5247189.623,7568302.635,18679101.88,5140340.091,4901157.204,0,0,31734212.05,1647093.045,4786837.872,0,1611726.784,3723716.484,2205561.61,8261431.646,6334583.114,3834253.515,3151089.584,2311925.001,4016000.605,0,7680292.77,0,0,0,3812891.576,8772931.721,0,9478627.799,0,5543761.733,0,2678580.478,0,0,943973.8201,0,0,3938439.366,2794162.172,0,49597837.81,2101595.851,0,4024493.475,0,0,0,0,4487495.156,0,3464427.895,0,3435308.272,0,9522011.184,0,1826771.879,0,3046759.207,2151554.316,11881281.96,0,8251393.727,0,164063837.6,3377367.708,4780681.897,5770556.865,0,0,0,0,3157618.941,0,877619812.7,36787355.08,118534379.8,77038713.67,143505372.3,54796063.68,25830711.97,0,13553191.42,4999096.818,8780332.909,4769851.155,0,6381480.321,15246449.12,0,0,0,14865814.59,20351457.73,39562608.25,0,0,0,3134486.228,0,0,0,2090480.643,0,0,0,5559468.548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8711576.77,4685408.136,68121628.94,0,0,0,1394145452,755788355.3,90947924.33,71017721.98,64858681.69,0,35821901.18,24603512.71,0,0,32575256.38,3330794.816,15210056.14,49046202.92,28408781.76,55068055.85,8620577.209,16370587.48,7330408.931,0,19875399.55,0,0,29522292.76,2898736.44,702698376.6,601766081.4,42736171.48,89250189.35,69501025.82,22356022.22,9541156.111,48175957.33,17111377.18,21681296.62,13151348.3,7543806.098,13418372.2,15318827.12,19752412.37,13437244.07,5221792.461,6538802.111,45277937.81,77593993.19,4177365.009,5765664.761,3088799.696,4788154.434,10820024.7,6804195.256,3947571.013,5459098.605,31351074.19,2317805.701,17859837.49,3293097.224,9179775.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
