"SAMPLE","432.281884626908;2.53300454545454","476.305215199788;2.6522125","388.253383000691;2.37624166666666","520.333179050021;2.75036574074074","415.252231763756;2.53302173913043","344.228422164916;2.14777916666666","371.22840590704;2.37920158730158","459.281274159749;2.65194375","503.303718898607;2.75060072463768","327.199721018473;2.14894513888888","608.382343292236;2.90830624999999","437.23558807373;2.53309015151515","547.337053934733;2.83507222222222","393.207991706;2.37502222222222","481.261560228135;2.65315092592592","525.287734985351;2.75009469696969","349.182868321736;2.14889513888888","372.25773747762;2.14881041666666","652.410075312075;2.97542971014492","416.28651826278;2.37429057971014","460.311168034871;2.53316597222222","565.35823059082;2.83591527777777","569.318290710449;2.83444722222222","591.353411356608;2.91065694444444","504.331973266601;2.65276666666666","318.194839477539;2.9753856060606","300.199878692626;1.41242291666666","372.229344685872;2.3807625","548.360237969292;2.75066296296296","328.233313242594;1.41325763888888","609.392204284667;2.91053472222222","613.337154222571;2.90747391304347","357.235390345255;3.03685486111111","283.174182545055;1.41690984848484","379.248261769612;3.09437291666666","548.334306989397;2.83344761904761","326.709794362386;2.97485555555555","696.438663482666;3.03706041666666","359.713798191236;3.03727463768115","592.390883596319;2.83320263157894","284.206535339355;0.747105555555555","328.205786568777;2.15281666666666","305.154994964599;1.40391388888888","370.7354443868;3.09446944444444","337.700962232506;2.9754268115942","394.213268280029;2.38114166666666","657.367707625679;2.97551884057971","570.312183726917;2.83585757575757","329.185869852701;2.97531481481481","522.332708185369;2.75181363636363","592.364072163899;2.90874444444444","381.726384480794;3.09468124999999","434.284787691556;2.53569871794871","401.262410702912;3.14059927536231","362.223553864852;3.09436594202898","271.129130276766;2.75001666666666","636.414493560791;2.908928125","249.116416599439;2.65379420289855","227.103171900699;2.53272631578947","505.342955271403;2.65448472222222","635.3814453125;2.97503583333333","205.090770467122;2.37693222222222","549.370530348557;2.75156666666666","504.299545288085;2.94568333333333","261.129791259765;0.696571428571428","340.712047031947;3.03599047619047","349.226055908203;3.03508666666666","293.142810474742;2.83222651515151","460.273803710937;2.85045277777777","296.68328552246;2.91345333333333","372.222684224446;2.57370833333333","335.221537590026;2.977846875","697.433990478515;3.03850151515151","335.220028347439;2.98123148148148","416.248245239257;2.708325","392.747397030101;3.1311725490196","315.156388132195;2.90778947368421","403.737784830729;3.14429111111111","701.396453857421;3.03639358974358","346.230796813964;2.15283888888888","740.471224975586;3.09469","307.171499252319;2.91045833333333","340.176904778731;2.97552017543859","183.077833811442;2.14942361111111","548.321767171224;3.03188888888888","680.439586292613;2.976075","384.235716320219;3.14640158730158","393.264615227194;3.09088823529411","362.722486707899;3.09536111111111","337.167495727539;2.97483095238095","362.191407147575;3.03648921568627","658.362594604492;2.97476666666666","307.172600882393;2.90618095238095","373.212438246783;3.09438039215686","257.101864624023;2.65363666666666","439.238014221191;2.53009375","242.284182341202;5.29321594202898","279.114673069545;2.74805595238095","371.251115587022;3.03716018518518","679.411488850911;3.03591111111111","592.351338704427;3.10568055555555","351.702832539876;3.03940833333333","318.16503554124;2.9081782051282","359.182932535807;3.03617777777777","304.695150756835;2.90482166666666","301.12867300851;2.83060476190476","414.761140906292;3.19618188405797","227.606398264567;2.53239722222222","462.314030965169;2.53065555555555","724.470564408735;3.03544696969697","453.209084828694;2.52916944444444","509.25592803955;2.94225","304.694480895996;2.90447499999999","443.247553507487;2.84735","415.275892893473;3.14695833333333","373.727554321289;3.03650138888888","434.225880940755;2.53196944444444","304.694939507378;2.9196074074074","741.466108534071;3.09525185185185","497.232696533203;2.64928589743589","399.221079508463;2.72671111111111","327.710446675618;2.97544444444444","423.774899291992;3.19697666666666","425.752466201782;3.19658333333333","377.177052815755;2.57630277777777","698.44773864746;3.03803888888888","523.341418457031;2.74818666666666","465.23100789388;2.84956666666666","681.448369344075;2.97748611111111","487.275644938151;2.94150833333333","362.736479441324;3.03652222222222","400.252738952636;2.57425833333333","541.262312147352;2.75171296296296","395.225737253824;3.14679166666666","362.689844767252;3.03975555555555","406.249408976236;3.19604444444444","421.204663594563;2.71631666666666","191.063467025756;2.14673472222222","355.195701599121;2.57374166666666","784.486075661399;3.14703484848484","345.156297302246;2.973045","328.195337931315;2.31655833333333","445.288902282714;3.24195104166666","123.078855832417;9.07154861111111","123.078887939453;9.58618888888889","478.252407073974;2.65069305555555","585.287887573242;2.83464791666666","549.333557128906;3.03257222222222","370.24216334025;2.14962083333333","462.28468577067;2.65621111111111","340.724707285563;2.97481111111111","553.287353515625;3.03634166666666","395.740617116292;3.09231805555555","415.161813354492;2.53242666666666","315.688356399536;2.90680208333333","444.280086517333;2.7085875","402.270228068033;2.69441805555555","391.259216308593;2.37623","534.310338338216;2.79311388888888","532.335845947265;2.94039583333333","578.339026200144;2.87298157894736","401.26203918457;3.11129102564102","381.195957183837;3.09329861111111","659.372487386067;2.97884722222222","384.750672658284;3.09331666666666","488.307807922363;2.85430555555555","629.314590454101;2.90821666666666","244.263559514826;4.59452045454545","358.243038940429;2.54937166666666","503.184491475423;2.75213333333333","406.216892589222;3.14698333333333","531.301035563151;3.03005555555555","386.23675755092;3.13312857142857","622.36533425071;2.94417272727272","279.619422912597;2.75415833333333","364.227116902669;3.08044444444444","408.252083672417;3.18754259259259","437.288792003284;3.19607575757575","304.694953918457;2.93829166666666","367.166956583658;3.03600555555555","597.30327351888;3.10628888888888","235.591384887695;2.53266111111111","458.293931749131;2.53191666666666","768.496139526367;3.09276944444444","327.13692220052;2.14760833333333","436.775570824032;3.24283412698412","315.688396453857;2.91112083333333","723.435658772786;3.09374305555555","285.177536010742;1.43265555555555","446.296797434488;2.80904583333333","680.405578613281;3.23683055555555","385.266423543294;3.03583611111111","323.641170501708;2.90875416666666","333.150723775227;2.31656111111111","384.707822163899;3.09657777777777","314.21535873413;2.31517361111111","673.337795257568;2.97646041666666","388.71784210205;3.13139166666666","257.179326375325;0.721636111111111","559.513454861111;8.2146074074074","350.225140889485;3.03804166666666","300.624271392822;2.82909999999999","315.68757906827;2.9153606060606","486.237478256225;2.65195","575.329544067382;3.10568055555555","447.767377471923;3.241905","342.212997436523;3.01753888888888","608.223866780599;2.91002222222222","417.756406148274;3.14531249999999","356.226384480794;2.31549444444444","587.250335693359;2.7732","703.394571940104;3.03940833333333","377.725581577845;3.13452619047619","345.65576171875;2.98951666666666","442.210311889648;2.53332777777777","417.239151000976;3.195775","274.169662475585;2.83243333333333","139.988009526179;7.56063974358974","355.711079188755;3.07658095238095","344.690266927083;3.01002777777777","410.728935241699;3.18405833333333","315.68911743164;2.95308333333333","403.207407171076;3.1469106060606","139.987800598144;7.51667179487179","583.292961120605;2.86519583333333","372.18169555664;2.14179","430.263099083533;2.87619743589743","347.198312377929;3.07848","333.698908487955;3.01002777777777","467.301934675736;3.28608257575757","576.353800455729;3.02982777777777","539.265075683593;2.78332777777777","490.321387396918;2.9045074074074","363.253879547119;2.97721944444444","139.051530202229;0.749933333333333","641.332580566406;3.17408888888888","369.21105702718;3.13245","406.763397216796;3.14649848484848","474.289974636501;2.98165555555555","371.162835693359;2.98055999999999","110.071308135986;8.13385151515151","627.316522216796;2.93813333333333","631.281613159179;2.83281833333333","400.228118896484;2.72919166666666","789.446651882595;3.14626296296296","278.117477416992;2.753025","415.251083374023;2.90694166666666","828.519399007161;3.19577592592592","324.144201660156;2.91347666666666","389.183543613978;3.09285476190476","392.748776949369;3.14043076923076","325.186303710937;3.01315333333333","326.216901506696;1.41033095238095","448.272958928888;2.42259393939393","710.417190551757;3.07042222222222","475.299370901925;3.08760238095238","518.31534576416;3.05383333333333","432.744135538737;3.23565","452.277249145507;3.28274666666666","445.288596413352;3.22053636363636","409.257542419433;2.93894666666666","453.283428192138;3.04154583333333","438.279745483398;3.13408166666666","321.130393981933;1.41054305555555","111.038563319614;2.80678333333333","109.521540323893;7.53682222222222","109.521494547526;7.48625555555555","388.25340270996;2.836325","431.271057128906;3.00345833333333","403.738490804036;3.12208888888888","423.774765014648;3.15551904761904","412.709449768066;3.092475","105.910811424255;2.5340625","620.383041381835;3.10521666666666","133.063758850097;9.91951666666666","391.224330902099;3.1848875","565.217651367187;2.83691666666666","362.92547861735;8.35353611111111","176.105627695719;7.54750555555555","418.252288818359;2.72856666666666","318.134559631347;2.97380833333333","298.221257527669;1.99185555555555","355.213603428431;2.97783809523809","111.038694654192;2.87782857142857","619.357200622558;3.16946666666666","497.315081278483;3.13253055555555","339.202690124511;2.9829","390.695157368977;3.04078611111111","107.059982299804;8.77435","421.754440307617;3.23657222222222","110.071510314941;9.9566","138.066261291503;9.19746666666666","111.038581848144;2.93578333333333","300.144772338867;1.44376333333333","111.038779667445;2.72976904761904","422.759445190429;3.00176666666666","812.517476399739;3.14625277777777","140.068336486816;2.60204999999999","300.144805908203;1.34714444444444","140.068077087402;1.93004583333333","300.131141662597;2.84020833333333","111.038537343343;2.64033611111111","131.533856709798;7.56396111111111","116.921520233154;2.65885","177.112823486328;9.14828333333333","458.787982177734;3.28654999999999","519.322570800781;3.18091666666666","133.085530598958;0.741522222222222","430.76924641927;3.23565","131.533821105957;7.48405","128.117469787597;9.61896666666666","128.117477416992;8.94863333333333","358.191658020019;3.07546666666666","311.188232421875;2.86788333333333","380.202941894531;3.14603333333333","247.165879683061;8.2307909090909","114.091034571329;0.862805555555555","489.313151041666;3.32621666666666","141.982670593261;7.44188333333333","111.038505554199;2.96705555555555","128.117485046386;8.98033333333333","370.221710205078;2.90046666666666","400.251342773437;3.14603333333333","378.730239868164;2.88755","438.279159545898;3.25023333333333","128.11750793457;9.51863333333333","206.091457366943;2.35409166666666","296.181703567504;2.9060375","423.276649475097;3.19573472222222","527.293355305989;2.74799999999999","384.736495971679;3.15233888888888","111.019971211751;7.57661296296296","745.426879882812;3.09892916666666","382.725814819335;3.09206111111111","499.203239440917;2.53192083333333","318.668115234375;2.90800666666666","407.278549194335;3.09306363636363","425.145422799246;2.37888333333333","474.289773123604;3.17998809523809","351.715845743815;2.97799999999999","428.262028087269;3.2407909090909","428.225372314453;3.19308333333333","387.246671040852;2.87891111111111","263.14167022705;2.74325833333333","460.291469573974;3.1734875","400.745175170898;2.93624666666666","459.303747994559;3.24229047619047","366.704795837402;3.0690625","439.77017211914;3.19434166666666","300.144836425781;1.1920875","133.087122599283;2.48331111111111","335.219764709472;2.96670555555555","654.422045026506;2.97464047619047","235.089357164171;2.52841666666666","636.380981445312;3.16963333333333","593.36299641927;2.97752777777777","110.020179748535;2.87166666666666","110.020141601562;2.59625","469.166870117187;2.52881666666666","110.020168304443;2.79176666666666","118.086166381835;2.20646666666666","110.020126342773;2.69531666666666","110.020103454589;2.46238333333333","213.577507019042;2.3821","118.08625793457;2.44015","110.020072937011;2.3072","430.264366149902;3.23600416666666","484.269912719726;2.643325","424.138107299804;2.36581666666666","311.168479919433;2.3651","341.711074829101;3.03745","110.020034790039;8.22270833333333","110.020027160644;2.00606666666666","559.512420654296;8.21796111111111","344.653121948242;2.97083333333333","251.112770080566;2.64640666666666","296.151348114013;2.82620833333333","717.364871978759;3.03126041666666","342.248868669782;2.31309523809523","451.212272644042;2.57503888888888","109.521541595458;7.70948333333333","598.314331054687;3.1084","385.244232177734;2.68905833333333","681.414581298828;3.2311","549.249084472656;2.649175","425.75170135498;3.18789166666666","346.157196044921;2.97331666666666","319.171569824218;2.31845555555555","284.170944213867;2.01375","591.202972412109;2.90675833333333","418.747802734375;3.08191666666666","562.348266601562;3.12978333333333","492.302673339843;2.55898333333333","184.078659057617;2.16056666666666","132.003028869628;1.286525","469.776374816894;3.28558333333333","169.049736022949;1.48198333333333","270.191329956054;2.01778333333333","411.235198974609;3.1873","614.345049176897;2.90686428571428","240.153354644775;0.732416666666666","682.444549560546;2.97126111111111","616.344329833984;2.90380833333333","111.038569132486;3.1963","746.412368774414;3.08395833333333","518.313644409179;3.11828333333333","213.076635088239;2.37650238095238","517.285232543945;2.767825","312.200592041015;2.00391666666666","140.068046569824;0.996441666666666","111.038516998291;2.52036666666666","430.913787841796;8.35418333333333","140.082046508789;7.57884999999999","262.132110595703;0.655483333333333","609.392150878906;2.8126","123.078643798828;10.2977333333333","390.703994750976;2.37786666666666","393.1240234375;2.36386666666666","344.229400634765;2.68493333333333","402.770065307617;3.13023333333333","202.109008789062;10.37515","123.091598510742;10.1250166666666","391.201583862304;2.37786666666666","153.137969970703;8.26475","667.394714355468;2.99201666666666","407.222579956054;2.68493333333333","724.43359375;3.28585","219.17446899414;5.62343333333333","130.966156005859;1.47876666666666"
"20170728_MS1_17k_PEG_1",6429624506,5408429283,7514160792,4055533016,3666656651,8277896112,3977181472,2950759341,1904767377,3983636045,1594326838,1836335544,958850293.7,2078242414,1487667210,1086416515,2476471401,2784965040,768112583.9,1594892398,1209244942,746524398,692561728.3,464188542.7,846535339.6,450804123.3,4848626346,749381393.9,577608293.3,4182635758,469693918.9,417435722.8,412569947.5,3631842105,299916339.8,289177841,275778531.9,241052209.7,236087627.9,334239361.7,1756317691,620985493.9,2014747137,189048621.3,222663409.7,389419228.6,174137216.4,188597572.2,146137143.8,208552138.4,137913755.9,142055837.7,267331831.2,136678462.8,132655907.2,161366602,167832819.6,206333684.7,210577609.5,217183486.2,129550647.3,222910408.9,155516351.4,106345769.7,0,99181407.58,110655205.4,113485992.1,114876910.6,0,101168668.7,0,79363672.2,51003172.52,102086301.1,76061989.55,80192949.12,59003562.51,52163451,229265525.1,60589674.13,62586144.84,61199391.73,176806188.2,57877401.41,70048364.22,48289251.2,53584175.46,48109150.92,54504258.58,39170633.49,53202771.16,0,46085810.97,76722520.11,69257665.28,77122861.07,63900700.94,36286351.7,30491518.14,36299777.21,32664249.9,0,27809476.98,0,46841952.94,27035259.43,42901994.05,50290195.38,25182098,49947722.19,22037293.29,11020472.71,26756728.71,24379388.04,20357582.52,16681258.17,15921652.95,22699254.21,40067073.5,28001837.09,21745266.03,19751225.97,0,26425854.13,20257148.82,32284492.95,21671213.85,23594888.73,19058905.85,18965310.02,20329214.18,0,16487661.48,12899383,14540362.8,19218364.48,56474604.58,23112696.33,15017502.03,18899805.17,15802940.69,14408280.06,0,0,11660858.63,22369987.04,15867811.68,37778062.87,17007798.29,14351986.76,12472657.34,13904678.97,19925954.99,3342995.072,0,15400501.03,0,0,10436817.85,11241572.97,10394219.35,12058626.63,13183177.18,10776476.11,11047269.3,13994506.13,0,15744705.09,9047561.756,7839275.199,10894305.24,9716735.015,9635579.858,0,8738085.285,8335320.342,7926522.352,0,10617916.42,7607392.542,0,0,7965541.823,22497885.24,7019997.532,4029638.081,6666339.707,75959818.48,8405993.239,6514076.327,7222666.635,8725004.21,5364103.088,6587260.646,13821790.35,7624801.559,5758031.814,59923221.44,2885119.092,6243934.286,8432342.679,0,4494350.358,5492485.964,5627497.294,0,7546617.584,5173979.309,4410076.184,0,3990657.947,5313040.819,0,0,4776005.349,2049275.112,4270277.376,4960069.753,3607470.241,4113998.184,0,4067589.736,0,3497245.14,15660781.54,4742949.632,4174336.99,3605064.381,4510325.809,5141942.187,4283108.981,4193684.444,3966590.995,31193733.11,3358125.779,3497535.696,3863882.815,0,3345605.458,61631927.69,3083477.872,3591776.352,4719514.099,3227397.085,0,4979448.028,2820189.045,0,4470688.796,0,3229770.814,0,6965389.09,3360567.266,3486079.683,0,2283598.6,3097384.101,2949240.803,3171798.718,3440548.999,2795434.322,31314607.07,3577007.563,0,1359817.494,7617131.767,0,2598879.695,2344813.847,2334359.233,3576680.433,2567651.023,0,2179474.382,3073917.957,35556567.42,1028966.731,0,2423979.776,12342062.7,2431189.075,4121369.745,2223745.835,2640960.678,1981224.675,2048943.474,0,2059839.155,0,0,3766094.422,0,0,0,1706491.156,0,0,0,2519752.515,3991033.383,0,0,0,1858493.607,0,0,1752509.872,843728.8996,0,0,1586170.031,0,0,0,2431145.162,0,0,0,0,0,0,0,0,0,0,265022079.6,0,58220431.81,0,4509233.272,0,9872768.353,10288501.03,11403160.05,3613891.551,0,1709959.792,2302055.666,3686017.401,2228962.328,0,0,2360135.904,2200891.748,1897361.487,4984438.565,1347897.312,2053304.276,2755316.887,39382163.61,0,76764368.45,17619540.23,0,0,0,5506507.379,0,0,0,0,0,0,0,0,8613326.381,0,0,0,0,0,0,0,0,0,2420680.458,0,0,0,0,1925811.605,1797968.054,0,21631710.79,0,0,10281674.21,0,0,0,0,0,36685703.95,0,25229983.37,0,0,124104797.6,208316657,5935428.818,4316312.236,15745950.31,4579822.085,2935478.417,76337919.69,3038236.093,10195469.63,33005128.29,2363757.405,15794080.19,2916290.576,85340626.53,11488075.78,23647899.06,6166834.335,13141799.45,4005167.238,2223329.176,7827147.565,50427613.11,810761.9836,53314268.17,1399198.055,1189305.746,1661110.194,1181525.599,28890918.35
"20170728_MS1_17k_PEG_2",6617665352,5505775209,7571515869,4112716607,3882034452,8206703134,0,2955649147,1960552584,4005900883,1644245615,1961158784,1095363509,2123693030,1520504604,1126627273,2474768580,2704660113,761298870.3,1571491452,1217935142,764659350.3,728261835,470780290.4,809833325.6,447654055.1,4834041338,766528401,545531688.8,4226650356,482524138.5,424951825.5,421071656,3719781957,308975864.6,300927851.8,281256844.3,245592143.2,236583416,322388650.1,1887535184,626014473.1,2091025345,196923909.8,223682178.3,400710383.5,167303485.3,198128557.7,144655969.2,208948911.7,139155932.6,149175730.6,275215870,140627852.4,139866746.3,163845817.1,159284129.3,204028961.6,223642581.1,209958384.7,125575491.5,224971098.8,147427335.2,102714736.5,886477922.6,99300538.55,112018693.9,116997149.4,117569877.5,0,105870914.1,14107215.7,80704564.3,54659294.86,104892385.5,79122127.6,78391065.25,61358211.65,51441632.46,228195434.1,61018240.93,62979737.58,58831903.88,169840002,60235823.65,61520155.37,50876380.66,49372127.41,50538335.58,52483187.58,37271432.16,0,0,48750450.17,62177975.67,73139529.54,63206180,53355747.03,33079889.87,30637792.5,38314096.04,32331561.73,0,28142760.62,22502609.03,39758400.18,26233064.04,43928822.3,0,23087753.93,53405894.78,20655346.33,0,27167606.55,21867437.29,18163851.49,16694950.97,6080387.392,22973615.11,40407067.22,28728198.68,22406511.04,19874922.1,21048770.27,27859626.68,20567690.51,32548664.23,22256312.68,20892442.5,17635438.28,17406082.97,21400198.91,0,17575320.83,13026755.4,14887302.29,19859273.37,46108469.96,25354646.87,14576747.55,0,16700584.67,15594515.55,0,0,9692111.691,23162333.53,15913413.06,42941426.44,18086444.7,13252810.09,0,13004052.72,20712585.53,2364791.354,0,15535792.58,29367699.11,0,8869514.448,11459791.5,10634739.98,13248671.78,12592957.58,10222892.94,10138935.36,14379031,0,16702863.52,10062151.37,8232735.618,11188524.47,9821345.244,9117457.344,13082317.25,8695659.92,8566866.035,6750684.46,0,8501830.802,8115890.391,0,12482476.62,7251633.587,22885949.52,7568518.73,2707661.166,6877831.449,77756023.28,7946533.209,6962008.129,5507241.61,7745645.429,6920846.843,7125668.846,13969566.06,7119663.911,5620825.399,59266663.97,4045840.388,6378583.116,0,5147671.12,2960421.85,5836008.241,6242136.463,0,7088279.105,4693396.723,5239756.567,0,4027993.543,5682132.372,0,0,5158418.986,0,2408919.163,4981699.568,3718857.054,4419679.141,0,4290104.789,4651405.855,4267503.268,0,5237081.062,4331583.924,3520561.122,4509356.544,4533118.284,3775903.775,0,4663124.345,30104558.29,3537066.305,3653675.925,3294491.877,0,3429843.672,56917874.14,2720202.001,0,0,3065416.021,0,0,2586712.981,3021380.293,3842814.807,0,3183895.774,0,6442480.589,3104328.898,3690760.2,0,2505188.382,3239981.28,2661052.404,3349583.577,3620547.396,2836343.258,32097305.59,0,1962472.379,1666918.023,0,3590851.97,2906721.798,2483468.288,2481360.902,3798121.467,0,0,2314625.034,3421359.642,38373928.7,0,0,2328911.905,11701231.74,2151959.955,3864047.214,2381175.837,2822508.746,2487130.696,1955916.877,0,2337104.706,0,0,3324192.881,15539188.37,0,0,0,0,0,0,0,0,1392302.992,0,0,0,0,18276069.98,1873973.516,4151260.561,0,0,0,0,0,35765215.7,0,0,0,0,0,0,0,0,0,0,0,261951819.7,40959962.38,60045651.74,19291022.35,2594701.546,14346210.89,0,10749199.64,8539961.563,2770650.061,6333400.211,0,2825390.726,3778408.837,0,2241786.191,2193389.222,2248099.889,2283676.5,1808873.765,0,0,0,0,27246434.33,57276321.13,66048371.74,17958917.33,10162674.7,15210143.09,20613503.34,6168089.117,14130406.11,39709195.92,15170149.62,23302806.73,12329523.6,24359026.08,26939271.25,4699867.803,8781359.07,4358744.345,10649608.34,4302107.875,8048589.992,87727540.77,3562357.387,3404463.899,3776723.949,3132380.128,2670415.262,3379076.113,2571666.284,4155751.328,1947281.906,2470926.743,1852947.592,1879605.093,1781840.106,1665808.943,2604404.263,10068146.38,1602195.288,1626620.32,1858520.522,3220312.386,2137674.25,32221600.41,1560998.877,21230563.6,6411467.863,1241936.069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20170728_MS1_17k_PEG_3",6576928427,5625211740,7567208669,4159129490,3816859834,8316890279,4083276215,3003420137,1917175859,4032922108,1577205253,1946366436,1081582502,2108489582,1519839493,1081044216,2479247227,2982101643,761444818.8,1707415832,1324245628,756012753.6,715461155.5,480738125.1,883487986.7,450608594.5,4740004246,756655773.2,592555605.9,4257549104,465986457.9,433190790.9,404491554.6,3669528813,295649758.3,298932498,281205003.3,253701023.8,233291234.7,351565090.7,1990279649,629596075.8,1909394694,187149622.6,218279977,396988065.7,164316869.9,195740787.4,141931260.7,207781090,143006797.1,133962258.2,270685028.9,139281842.3,129475423.5,161659553.5,171137830.2,203646845.6,218100559.6,233094110.5,124546908.7,227742386.3,159781581.4,105937789.1,874149714.8,99806402.61,110163423.6,115790269.9,113301945.8,52199494.45,101955039.3,59547166.93,83121027.85,30501541.91,115225148.6,77655187.43,81621071.22,59992167.97,53457173.7,229524596.1,60740920.17,37648866.92,57042664.38,174141866.3,59729758.53,67740967.52,49862779.06,49873464.29,46201802.91,52848645,37215305.29,49565655.96,24128898.1,43692596.55,57216426.69,72711906.84,78138815.3,48077980.85,33752089.38,31050139.32,36766348.78,32165318.17,23123136.87,27901777.94,8588660.737,36064058.24,28285070.48,44955093.16,55049543.56,25762130.3,53681773.41,21479321.22,7254487.019,27945740.46,23242567.27,19515707.69,15773110.53,6660803.238,22616208.62,41773975.7,26263709.17,22707404.81,20454961.02,22372815.38,26386661.14,21079386.42,33217323.69,21506537.41,22974397.88,19040396.96,18855783.46,22212224.6,28885253.7,17060760.8,12369203.15,14808899.95,21955574.63,43507176.3,24687082.42,14626503.11,14018831.36,19016663.59,15526917.2,136787682.1,339422061.3,9404573.091,23361720.69,16156364.01,45724371.55,18085731.44,14259365.92,13546774.79,12363594.29,20218595.47,3399227.325,15689896.34,15405979.66,29318001.33,11560093.62,10200422.98,11449379.82,11211799.83,11414137.1,11666160.21,10217348.35,10879683.31,14927742.52,12555116.33,15609354.26,9909082.055,8008450.386,11155393.45,10041225.26,9061715.942,12373368.8,8407408.74,8929249.565,7775161.419,2403509.478,7750837.932,7466227.494,12722967.73,13520518.94,7288805.99,22687531.39,7573072.443,2083597.35,6455285.727,76794856.06,8688386.783,7019636.614,7000143.916,7161606.367,7475408.685,5940823.052,14469850.1,7295421.206,5737564.318,59022390.58,9866971.784,6149631.384,6830585.584,1604801.415,3622723.153,5494035.402,6191066.446,4460817.126,7134810.827,5074613.745,6553607.464,4446250.468,4343805.604,5492127.568,3819589.857,3389721.146,4981598.866,1183061.157,2900421.632,5067209.109,3656999.828,4207224.095,1353674.928,4137630.98,4473118.552,3963626.091,11399330.71,4558300.681,4216508.773,3672996.43,5912011.33,5205592.946,3754032.898,4344884.273,5683254.292,34455552.66,3520320.537,3684177.246,3677406.363,4282869.346,3224351.522,51998730.78,2914704.851,4953167.015,4894884.796,3100399.585,2840417.904,4774736.523,2617921.84,3235552.092,2924130.426,3489644.576,3165773.752,35481892.87,6659464.118,3353629.144,3898285.153,2965375.376,2443968.958,2998345.664,2718844.075,3058476.079,3794101.092,2985162.412,30098264.69,3065205.205,2588519.313,2098485.698,4640620.262,3178259.209,2668948.741,2465832.188,2224563.795,3585203.496,2613165.842,7449054.794,2474126.369,3242275.323,39150003.86,965902.49,3781342.437,2362382.116,12196416.81,2458886.249,4110992.71,2352396.39,2743624.814,2762969.392,2062180.663,1084789.583,2206649.079,48585715.48,26632926.37,2223567.146,10405999.33,3821370.302,2019676.548,1682432.882,2814808.818,1786694.738,34350290.2,1672322.584,4743435.36,1709144.537,2348522.225,3818772.138,1804056.584,1963127.554,19028241.09,1912115.795,1501858.967,3807346.411,3756838.89,1433822.014,883401.0331,1253723.325,37359009.54,2118196.604,1500173.438,554038.4355,1454176.072,3026153.271,1747791.831,1231077.885,1753758.878,1505417.269,14315264.17,517436.9632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
